peso_mex,date
18.9877,23/03/2017
18.8528,24/03/2017
18.8661,27/03/2017
18.8853,28/03/2017
18.8092,29/03/2017
18.7079,30/03/2017
18.7955,31/03/2017
18.732,04/03/2017
18.8334,04/04/2017
18.7192,04/05/2017
18.7696,04/06/2017
18.656,04/07/2017
18.6923,04/10/2017
18.7646,04/11/2017
18.7528,04/12/2017
18.5582,17/04/2017
18.4863,18/04/2017
18.8374,19/04/2017
18.8187,20/04/2017
18.8413,21/04/2017
18.6521,24/04/2017
18.9225,25/04/2017
19.1119,26/04/2017
19.067,27/04/2017
18.9594,28/04/2017
18.7731,05/02/2017
18.8031,05/03/2017
19.0019,05/04/2017
19.0137,05/05/2017
19.1164,05/08/2017
19.1364,05/09/2017
18.9587,05/10/2017
18.9039,05/11/2017
18.7594,05/12/2017
18.67,15/05/2017
18.6183,16/05/2017
18.6761,17/05/2017
18.8898,18/05/2017
18.6859,19/05/2017
18.6633,22/05/2017
18.615,23/05/2017
18.5689,24/05/2017
18.4185,25/05/2017
18.4849,26/05/2017
18.5121,29/05/2017
18.6643,30/05/2017
18.6909,31/05/2017
18.5941,06/01/2017
18.6204,06/02/2017
18.3819,06/05/2017
18.2762,06/06/2017
18.2278,06/07/2017
18.1946,06/08/2017
18.1939,06/09/2017
18.1802,06/12/2017
18.0725,13/06/2017
17.9343,14/06/2017
18.1154,15/06/2017
17.9321,16/06/2017
17.9519,19/06/2017
18.1167,20/06/2017
18.157,21/06/2017
18.127,22/06/2017
17.99,23/06/2017
17.8775,26/06/2017
17.9862,27/06/2017
17.8973,28/06/2017
18.0279,29/06/2017
18.0626,30/06/2017
18.2064,07/03/2017
18.2036,07/04/2017
18.3556,07/05/2017
18.3227,07/06/2017
18.1394,07/07/2017
17.9751,07/10/2017
17.9482,07/11/2017
17.7708,07/12/2017
17.7422,13/07/2017
17.5613,14/07/2017
17.5836,17/07/2017
17.5134,18/07/2017
17.4937,19/07/2017
17.526,20/07/2017
17.5618,21/07/2017
17.6893,24/07/2017
17.7492,25/07/2017
17.7561,26/07/2017
17.6886,27/07/2017
17.7435,28/07/2017
17.8646,31/07/2017
17.8108,08/01/2017
17.8696,08/02/2017
17.8733,08/03/2017
17.8798,08/04/2017
17.9641,08/07/2017
17.916,08/08/2017
17.9671,08/09/2017
17.9073,08/10/2017
17.847,08/11/2017
17.7755,14/08/2017
17.8483,15/08/2017
17.716,16/08/2017
17.7324,17/08/2017
17.8584,18/08/2017
17.6501,21/08/2017
17.6458,22/08/2017
17.7113,23/08/2017
17.6977,24/08/2017
17.6205,25/08/2017
17.8049,28/08/2017
17.876,29/08/2017
17.7753,30/08/2017
17.8145,31/08/2017
17.7861,09/01/2017
17.8683,09/04/2017
17.836,09/05/2017
17.8136,09/06/2017
17.6965,09/07/2017
17.7331,09/08/2017
17.6443,09/11/2017
17.781,09/12/2017
17.7836,13/09/2017
17.7278,14/09/2017
17.6857,15/09/2017
17.761,18/09/2017
17.7643,19/09/2017
17.7009,20/09/2017
17.8545,21/09/2017
17.7487,22/09/2017
17.8831,25/09/2017
17.9933,26/09/2017
18.13,27/09/2017
18.1979,28/09/2017
18.159,29/09/2017
18.2337,10/02/2017
18.2113,10/03/2017
18.2282,10/04/2017
18.306,10/05/2017
18.5522,10/06/2017
18.6646,10/09/2017
18.6327,10/10/2017
18.718,10/11/2017
18.7631,10/12/2017
18.9008,13/10/2017
19.0753,16/10/2017
19.0117,17/10/2017
18.8869,18/10/2017
18.8248,19/10/2017
19.008,20/10/2017
19.0489,23/10/2017
19.2009,24/10/2017
19.077,25/10/2017
19.096,26/10/2017
19.1474,27/10/2017
19.2188,30/10/2017
19.1478,31/10/2017
19.1241,11/01/2017
19.185,11/03/2017
19.0814,11/06/2017
19.1349,11/07/2017
